ISIN	NOME ETF	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	INDICE	TER	INDICE DI RISCHIO	TIPO DI REPLICA	DIMENSIONE DEL FONDO (mld)	RENDIMENTO MEDIO (ANNUALE)	RENDIMENTO CUMULATIVO	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	SCARTO ANNUALE MEDIO
LU0446734872	UBS ETF (LU) MSCI Canada UCITS ETF (CAD) A-dis	 0,1061 	-0,0914 	 0,2016 	 0,0831 	-0,0992 	 0,2095 	 0,0347 	 0,2477 	-0,0662 	 0,1223 	MSCI Canada	 0,0033 	5	fisica totale	0,712	 0,0748 	 0,92805 	-0,0004	-0,001	-0,001	-0,0014	-0,0018	-0,001	0	-0,0014	-0,0008	-0,0012	-0,001
DE0006289465	iShares eb.rexx Government Germany UCITS ETF (DE)	 0,0647 	 0,0039 	 0,0244 	-0,0117 	 0,0101 	 0,0082 	 0,0070 	-0,0181 	-0,1246 	 0,0479 	eb.rexx¨ Government Germany	 0,0016 	2	a campionamento	0,218	 0,0012 	-0,00044 	-0,0014	-0,0016	-0,0015	-0,0014	-0,0017	-0,0015	-0,0016	-0,0015	-0,2478	-0,0015	-0,02615
DE000A0F5UJ7	iShares STOXX Europe 600 Banks UCITS ETF (DE)	 0,0013 	 0,0038 	-0,0307 	 0,1184 	-0,2563 	 0,1422 	-0,2475 	 0,3901 	 0,0151 	 0,2697 	STOXX¨ Europe 600 Banks	 0,0047 	5	fisica totale	1,906	 0,0406 	 0,24787 	0,0017	0,0078	-0,0024	0,0011	-0,0027	0,007	-0,0033	0,0047	0,0044	0,0048	0,00231
IE00B60SX402	Invesco Russell 2000 UCITS ETF Acc	 0,0442 	-0,0485 	 0,2077 	 0,1413 	-0,1142 	 0,2497 	 0,1943 	 0,1430 	-0,2080 	 0,1641 	Russell 2000¨	 0,0025 	5	sintetica	0,070	 0,0774 	 0,90795 	-0,0047	-0,0044	-0,0054	-0,0052	-0,0041	-0,0055	-0,0053	-0,0052	-0,0036	-0,0052	-0,00486
DE0005933931	iShares Core DAX UCITS ETF (DE)	 0,0249 	 0,0938 	 0,0675 	 0,1234 	-0,1870 	 0,2479 	 0,0296 	 0,1525 	-0,1288 	 0,1954 	DAX¨	 0,0016 	5	fisica totale	6,700	 0,0619 	 0,68552 	-0,0016	-0,0018	-0,0012	-0,0017	0,0011	0,0019	0,0013	0,0007	0,0022	0,002	0,00029
IE00B1FZSC47	iShares USD TIPS UCITS ETF USD (Acc)	 0,0426 	-0,0186 	 0,0468 	 0,0318 	-0,0162 	 0,0855 	 0,1130 	 0,0592 	-0,1268 	 0,0378 	Bloomberg US Government Inflation-Linked Bond	 0,0010 	3	a campionamento	2,748	 0,0255 	 0,26084 	-0,0017	-0,0014	-0,0017	-0,0012	-0,0014	-0,002	-0,0024	-0,0008	-0,0008	-0,0006	-0,0014
IE00B0M63060	iShares UK Dividend UCITS ETF	 0,0700 	 0,0079 	 0,0847 	 0,0670 	-0,1441 	 0,1874 	-0,1723 	 0,2319 	-0,0187 	 0,0619 	FTSE UK Dividend+	 0,0040 	5	fisica totale	1,011	 0,0376 	 0,34781 	-0,0069	-0,0037	-0,0044	-0,0052	-0,005	-0,0089	-0,0102	-0,0104	-0,004	-0,0068	-0,00655
LU1681049018	Amundi ETF S&P 500 UCITS ETF USD	 0,1306 	 0,0084 	 0,1145 	 0,2151 	-0,0457 	 0,3137 	 0,1837 	 0,2860 	-0,1824 	 0,2606 	S&P500	 0,0015 	5	sintetica	4,305	 0,1285 	 2,03680 	0,0007	0,0009	0,0022	0,0041	0,0037	0,0067	0,0062	0,0044	0,0027	0,0039	0,00355
IE00B5BMR087	iShares Core S&P 500 UCITS ETF (Acc)	 0,1324 	 0,0099 	 0,1154 	 0,2140 	-0,0472 	 0,3102 	 0,1802 	 0,2836 	-0,1835 	 0,2592 	S&P500	 0,0007 	5	fisica totale	78,685	 0,1274 	 2,01095 	0,0025	0,0024	0,0031	0,003	0,0022	0,0032	0,0027	0,002	0,0016	0,0025	0,00252
DE0005933972	iShares TecDAX UCITS ETF (DE)	 0,1699 	 0,3290 	-0,0111 	 0,3914 	-0,0358 	 0,2236 	 0,0592 	 0,2128 	-0,2597 	 0,1350 	TecDAX¨	 0,0051 	5	fisica totale	0,748	 0,1214 	 1,72430 	-0,0054	-0,006	-0,0007	-0,0045	-0,0032	-0,0047	-0,0046	-0,0052	-0,0031	-0,0048	-0,00422
LU1829221024	Amundi Nasdaq-100 II UCITS ETF Acc	 0,3509 	 0,2152 	 0,0993 	 0,1636 	 0,0463 	 0,4139 	 0,3612 	 0,3689 	-0,2814 	 0,4953 	Nasdaq 100¨	 0,0022 	5	sintetica	2,563	 0,2233 	 5,21978 	-0,0088	-0,0073	-0,0055	-0,0046	-0,0045	-0,0063	-0,0046	-0,003	-0,0019	-0,0035	-0,005
FR0010361683	Amundi MSCI India II UCITS ETF EUR Acc	 0,3942 	 0,0268 	-0,0010 	 0,1996 	-0,0424 	 0,0773 	 0,0430 	 0,3347 	-0,0345 	 0,1519 	MSCI India	 0,0085 	5	sintetica	1,057	 0,1150 	 1,74011 	-0,0164	-0,0189	-0,0162	-0,0192	-0,0161	-0,0182	-0,0171	-0,0235	-0,0153	-0,0153	-0,01762
FR0012739431	BNP Paribas Easy EURO STOXX 50 UCITS ETF	 0,0490 	 0,0850 	 0,0270 	 0,1000 	-0,1220 	 0,2865 	-0,0293 	 0,2408 	-0,0747 	 0,2059 	EURO STOXX 50¨ (NR) Reinvested Dividends	 0,0018 	5	fisica totale	0,463	 0,0768 	 0,95188 	0,006	0,006	0,004	0,002	0,003	0,0045	0,0028	0,0074	0,0067	0,0034	0,00458
LU0950381748	BNP Paribas Easy FTSE EPRA/NAREIT Eurozone Capped UCITS ETF	 0,2160 	 0,1760 	 0,0300 	 0,1750 	-0,0720 	 0,2248 	-0,1070 	 0,0645 	-0,3260 	 0,1531 	FTSE EPRA/NAREIT Eurozone Capped (EUR) NR	 0,0041 	5	fisica totale	0,069	 0,0534 	 0,45329 	-0,001	0,004	-0,002	0	0,002	0,0025	0,0017	0,0006	-1E-04	-0,001	0,00067
IE00B1FZS350	iShares Developed Markets Property Yield UCITS ETF	 0,0892 	-0,2433 	 0,2518 	-0,0947 	 0,2195 	-0,0580 	 0,1059 	 0,0550 	-0,0066 	 0,1996 	FTSE EPRA/NAREIT Global Dividend+	 0,0059 	5	fisica totale	1,068	 0,0518 	 0,49183 	0,0005	-0,0016	-0,001	0,0009	-0,0002	-0,0005	0,0006	-0,0002	0,0003	-0,0022	-0,00034
FR0010429068	Amundi MSCI Emerging Markets III UCITS ETF EUR Acc	 0,1047 	-0,0594 	 0,1384 	 0,1979 	-0,1101 	 0,1963 	 0,0770 	 0,0437 	-0,1520 	 0,0561 	MSCI Emerging Markets	 0,0055 	4	sintetica	0,861	 0,0493 	 0,51858 	-0,0091	-0,0071	-0,0067	-0,008	-0,0075	-0,0097	-0,0084	-0,0049	-0,0035	-0,005	-0,00699
LU1681044480	Amundi MSCI Emerging Markets Asia UCITS ETF EUR (C)	 0,1877 	-0,0003 	 0,0875 	 0,2481 	-0,1163 	 0,2084 	 0,1727 	 0,0181 	-0,1608 	 0,0394 	MSCI Emerging Markets Asia	 0,0020 	4	sintetica	0,851	 0,0685 	 0,79224 	-0,0068	-0,0052	-0,0056	-0,0065	-0,0044	-0,006	-0,005	-0,0031	-0,0015	-0,0018	-0,00459
IE00B7LW6Y90	iShares Italy Government Bond UCITS ETF EUR (Dist)	 0,1487 	 0,0462 	 0,0055 	 0,0053 	-0,0155 	 0,1049 	 0,0763 	-0,0318 	-0,1739 	 0,0915 	Bloomberg Italy Treasury Bond	 0,0020 	3	a campionamento	0,852	 0,0257 	 0,24163 	-0,0022	-0,0021	-0,0021	-0,0022	-0,0025	-0,001	-0,003	-0,0018	-0,0018	-0,0019	-0,00206
IE00B3VSSL01	Invesco US Technology Sector UCITS ETF	 0,1712 	 0,0475 	 0,1413 	 0,3361 	-0,0186 	 0,4975 	 0,4243 	 0,3394 	-0,2840 	 0,5902 	S&P Select Sector Capped 20% Technology	 0,0014 	5	sintetica	0,839	 0,2245 	 4,97191 	-0,0036	-0,0032	-0,0003	-0,0005	0,0002	0,0013	0,0006	-0,0001	0,0001	1E-04	-0,00054
IE00B3YCGJ38	Invesco S&P 500 UCITS ETF	 0,1320 	 0,0101 	 0,1154 	 0,2141 	-0,0447 	 0,3137 	 0,1830 	 0,2864 	-0,1817 	 0,2618 	S&P500	 0,0005 	5	sintetica	19,69	 0,1290 	 2,05348 	0,0021	0,0026	0,0031	0,0031	0,0047	0,0067	0,0055	0,0048	0,0034	0,0051	0,00411
IE0008471009	iShares Core EURO STOXX 50 UCITS ETF EUR (Dist)	 0,0447 	 0,0682 	 0,0473 	 0,0968 	-0,1154 	 0,2886 	-0,0289 	 0,2398 	-0,0904 	 0,2279 	EURO STOXX 50	 0,0010 	5	fisica totale	3,875	 0,0779 	 0,96488 	0,0046	0,004	0,0101	0,0053	0,0049	0,0066	0,0031	0,0064	0,0045	0,0056	0,00551
IE00B66F4759	iShares EUR High Yield Corporate Bond UCITS ETF EUR (Dist)	 0,0379 	-0,0056 	 0,0805 	 0,0477 	-0,0352 	 0,0937 	 0,0092 	 0,0297 	-0,0972 	 0,1133 	iBoxx EUR Liquid High Yield	 0,0050 	3	fisica totale	5,828	 0,0274 	 0,28767 	-0,0024	-0,0031	-0,001	-0,0006	-0,0013	-0,0018	-0,0073	-0,0021	-0,0031	-0,0047	-0,00274
IE00B3VWN393	iShares USD Treasury Bond 3-7yr UCITS ETF (Acc)	 0,0299 	 0,0159 	 0,0114 	 0,0118 	 0,0134 	 0,0581 	 0,0703 	-0,0243 	-0,0948 	 0,0450 	ICE US Treasury 3-7 Year	 0,0007 	2	fisica totale	4,671	 0,0137 	 0,13411 	-0,0024	-0,0019	-0,0017	-0,0012	-0,0013	-0,0008	-0,0004	-0,0003	-0,0017	0,0015	-0,00102
IE00B60SX394	Invesco MSCI World UCITS ETF (Acc)	 0,0467 	-0,0102 	 0,0751 	 0,2241 	-0,0863 	 0,2792 	 0,1610 	 0,2193 	-0,1802 	 0,2396 	MSCI World	 0,0019 	4	sintetica	4,486	 0,0968 	 1,29250 	-0,0027	-0,0015	0	1E-04	0,0008	0,0025	0,002	0,0011	0,0012	0,0017	0,00052
LU2572257124	Amundi MSCI World III UCITS ETF (Dist)	 0,0579 	-0,0064 	 0,0667 	 0,2232 	-0,0921 	 0,2853 	 0,1619 	 0,2237 	-0,1823 	 0,2396 	MSCI World III	 0,0020 	4	sintetica	4,261	 0,0978 	 1,30652 	-0,0016	0,0008	0,0003	-0,0008	0,0014	0,0025	0,002	0,0017	0,0004	0,0017	0,00084
IE00B1FZS798	iShares USD Treasury Bond 7-10yr UCITS ETF (Dist)	 0,0869 	 0,0158 	 0,0093 	 0,0247 	 0,0081 	 0,0846 	 0,0997 	-0,0319 	-0,1508 	 0,0372 	ICE US Treasury 7-10 Year	 0,0007 	3	fisica totale	4,167	 0,0184 	 0,17073 	-0,0013	-0,0011	-0,0006	-0,001	-0,0009	-0,0004	-0,0003	0	-0,0028	0,0033	-0,00051
FR0007052782	Amundi CAC 40 UCITS ETF (Dist)	 0,0240 	 0,1172 	 0,0865 	 0,1243 	-0,0819 	 0,3020 	-0,0511 	 0,3159 	-0,0691 	 0,1989 	CAC 40	 0,0025 	5	fisica totale	3,561	 0,0967 	 1,32795 	-0,0031	-0,0022	-0,0023	-0,003	-0,0019	-0,0025	-0,0015	-0,0029	-0,0023	-0,0025	-0,00242
LU0496786574	Amundi S&P 500 II UCITS ETF EUR (Dist)	 0,2899 	 0,1261 	 0,1513 	 0,0690 	 0,0026 	 0,3374 	 0,0856 	 0,3832 	-0,1285 	 0,2188 	S&P 500 Net Total Return Index	 0,0007 	5	sintetica	2,908	 0,1535 	 2,82334 	0,0032	0,0039	0,0058	0,0053	0,0041	0,0064	0,0053	0,0043	0,0032	0,0047	0,00462
IE0032895942	iShares USD Corporate Bond 	 0,0852 	-0,0064 	 0,0633 	 0,0713 	-0,0383 	 0,1706 	 0,1107 	-0,0160 	-0,1804 	 0,0926 	iBoxx USD Liquid Investment Grade	 0,0020 	3	fisica totale	3,947	 0,0353 	 0,35329 	-0,0014	0,001	-0,0005	-0,0017	-0,0014	-0,0021	-0,0023	-0,0011	-0,0013	-0,002	-0,00128
LU1681047236	Amundi EURO STOXX 50 UCITS ETF EUR (C)	 0,0454 	 0,0688 	 0,0422 	 0,0956 	-0,1350 	 0,3165 	-0,0293 	 0,2393 	-0,0904 	 0,2274 	EURO STOXX 50	 0,0015 	5	fisica totale	2,34	 0,0781 	 0,95127 	0,0053	0,0046	0,005	0,0041	-0,0147	0,0345	0,0027	0,0059	0,0045	0,0051	0,0057
FR0011550185	BNP Paribas Easy S&P 500 UCITS ETF EUR	 0,2980 	 0,1310 	 0,1480 	 0,0700 	-0,0050 	 0,3504 	 0,0866 	 0,3820 	-0,1296 	 0,2184 	S&P 500 Composite (NR)	 0,0015 	5	sintetica	2,28	 0,1550 	 2,85865 	0,003	0,003	0,008	0,006	0,005	0,0076	0,0063	0,0031	0,0021	0,0043	0,00484
IE00B52VJ196	iShares MSCI Europe SRI UCITS ETF (Acc)	 0,0841 	 0,0845 	 0,0009 	 0,1113 	-0,0721 	 0,2963 	 0,0388 	 0,2702 	-0,1520 	 0,1717 	MSCI Europe SRI Select Reduced Fossil Fuels	 0,0020 	4	fisica totale	3,982	 0,0834 	 1,06226 	-0,0023	-0,0024	-0,0006	0,0007	0,0008	0,0022	0,0008	0,0035	0,0018	0,0018	0,00063
IE00B1TXK627	iShares Global Water UCITS ETF	 0,0383 	-0,0188 	 0,0653 	 0,2670 	-0,1007 	 0,3330 	 0,1560 	 0,3106 	-0,2178 	 0,1412 	S&P Global Water	 0,0065 	4	fisica totale	2,196	 0,0974 	 1,22931 	-0,0025	-0,0038	-0,003	-0,0039	-0,0025	-0,0056	-0,0052	-0,0076	-0,003	-0,007	-0,00441
IE00B60SWW18	Invesco STOXX Europe 600 UCITS ETF	 0,0717 	 0,0961 	 0,0183 	 0,1065 	-0,1063 	 0,2696 	-0,0201 	 0,2487 	-0,1059 	 0,1592 	STOXX Europe 600	 0,0019 	4	sintetica	0,519	 0,0738 	 0,90456 	-0,0003	0,0001	0,001	0,0007	0,0014	0,0014	-0,0002	-0,0004	0,0005	0,0012	0,00054
IE00B53QG532	iShares Core MSCI EMU UCITS ETF EUR (Acc)	 0,0489 	 0,1024 	 0,0466 	 0,1275 	-0,1240 	 0,2622 	-0,0076 	 0,2273 	-0,1203 	 0,1929 	MSCI EMU	 0,0012 	4	fisica totale	3,5	 0,0756 	 0,92832 	0,0057	0,0043	0,0029	0,0026	0,0031	0,0075	0,0026	0,0057	0,0044	0,0051	0,00439
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
